era,file_no,status,title
2026,260605,kept,Resolution approving the Fiscal Year (FY) 2026-2027 Interim Budget of the Office
2026,260561,skipped_commendation,Resolution commemorating the San Francisco Youth Commission for its 30 years of 
2026,260560,skipped_commendation,Resolution commending June Jordan School for Equity (JJSE) for its outstanding c
2026,260559,kept,Resolution retroactively approving Amendment No. 4 to a grant agreement between 
2026,260550,kept,Resolution authorizing and directing the Executive Director of the Treasure Isla
2026,260549,kept,Resolution of intention to add territory to the City and County of San Francisco
2026,260548,kept,"Resolution approving for purposes of the Internal Revenue Code of 1986, as amend"
2026,260547,kept,Resolution 1) approving and authorizing the Director of Property and the Mayor’s
2026,260546,kept,Resolution authorizing all City and County of San Francisco Departments to submi
2026,260522,kept,Resolution urging State officials to support California State Senate Bill No. 43
2026,260520,kept,Resolution retroactively authorizing the Office of Cannabis to accept and expend
2026,260517,kept,"Resolution approving and authorizing the Director of Real Estate, on behalf of t"
2026,260515,kept,Resolution authorizing Department of Public Health (DPH) to accept and expend gr
2026,260514,kept,Resolution authorizing the Department of Public Works to accept and expend a gra
2026,260513,kept,Resolution authorizing the Department of Public Health to accept a capital gift 
2026,260511,kept,"Resolution authorizing the City and County of San Francisco (City), acting by an"
2026,260510,kept,Resolution approving Amendment No. 1 to the agreement between the City and Count
2026,260509,kept,Resolution approving Amendment No. 1 to the agreement between the City and Count
2026,260508,kept,Resolution authorizing the Department of Public Health to enter into Performance
2026,260507,kept,Resolution approving Modification No. 1 to Contract No. 50354.01 with SITA Infor
2026,260500,kept,Resolution retroactively approving an Amended and Restated Lease Agreement betwe
2026,260496,kept,"Resolution authorizing the issuance and sale of not to exceed $195,000,000 aggre"
2026,260481,kept,Resolution authorizing the San Francisco Public Library to accept and expend a g
2026,260480,kept,Resolution concurring with the Controller's certification that department servic
2026,260479,kept,Resolution concurring with the Controller's certification that department servic
2026,260487,kept,"Resolution approving and authorizing the Director of Property, on behalf of the "
2026,260461,kept,Resolution approving the third amendment to the grant agreement between Tenderlo
2026,260460,kept,Resolution approving the second amendment to the grant agreement between the Ten
2026,260459,kept,Resolution approving the contract between the St. Vincent de Paul Society of San
2026,260458,kept,Resolution approving the first amendment to the contract between St. Vincent de 
2026,260457,kept,Resolution approving the first amendment to the contract between DISH SF and the
2026,260456,kept,Resolution retroactively authorizing the Police Department to accept and expend 
2026,260455,kept,Resolution retroactively authorizing the Police Department to execute an amendme
2026,260454,kept,Resolution retroactively authorizing the Human Services Agency to accept and exp
2026,260453,kept,Resolution retroactively authorizing the Human Services Agency to accept and exp
2026,260452,kept,Resolution retroactively authorizing the Recreation and Park Department to accep
2026,260447,kept,Resolution approving Amendment No. 4 to the agreement between the City and Count
2026,260446,kept,Resolution approving Amendment No. 3 to the agreement between the City and Count
2026,260448,kept,Resolution authorizing adoption of the San Francisco Behavioral Health Services 
2026,260441,kept,Resolution approving the Lease Termination Agreement for the Harvey Milk Termina
2026,260443,kept,Resolution approving and authorizing the General Manager of the San Francisco Pu
2026,260438,kept,Resolution approving Amendment No. 1 to the agreement between the City and Count
2026,260442,kept,Resolution authorizing the Sheriff’s Office to contract with the San Francisco P
2026,260440,kept,"Resolution approving the Lease Termination Agreement for Terminal 3, Boarding Ar"
2026,260439,kept,Resolution approving Amendment No. 2 to the agreement between the City and Count
2026,260437,kept,"Resolution determining that the person-to-person, premise-to-premise transfer of"
2026,260422,kept,Resolution adding the commemorative street name “Tony Stefani Way” to Falmouth S
2026,260421,kept,"Resolution determining that the person-to-person, premise-to-premise transfer of"
2026,260418,kept,Resolution approving Amendment No. 1 to the agreement between the City and Count
2026,260416,kept,Resolution approving the settlement of the unlitigated claim filed by Charles Re
2026,260420,kept,"Resolution determining that the person-to-person, premise-to-premise transfer of"
2026,260390,kept,"Resolution approving the agreement between the City and County of San Francisco,"
2026,260389,kept,"Resolution approving the agreement between the City and County of San Francisco,"
2026,260374,skipped_commendation,"Resolution recognizing April 6, 2026, as the 100th Anniversary of United Airline"
2026,260329,kept,"Resolution supporting California State Assembly Bill No. 1837, introduced by Ass"
2026,260340,kept,Resolution approving the settlement of the unlitigated claim filed by The Market
2026,260338,kept,Resolution approving the settlement of an unlitigated claim filed by Warren Guan
2026,260339,kept,Resolution approving the settlement of an unlitigated claim filed by Amy Yanyu C
2026,260137,kept,Resolution imposing interim zoning controls for 18 months to require a Condition
